Cooling Rate	Total Wire Length
6.09674e-006	66.5576
5.48707e-006	65.952
4.93836e-006	65.952
4.44453e-006	65.952
4.00007e-006	65.952
3.60007e-006	65.952
3.24006e-006	65.952
2.91605e-006	65.952
2.62445e-006	65.952
2.362e-006	65.952
2.1258e-006	65.952
1.91322e-006	65.952
1.7219e-006	65.952
1.54971e-006	65.952
1.39474e-006	65.952
1.25527e-006	65.952
1.12974e-006	65.952
1.01677e-006	65.952
9.15089e-007	65.952
8.2358e-007	65.952
7.41222e-007	65.952
0.9	65.952
63971.8	127.944
60773.2	127.944
57734.5	127.944
54847.8	127.944
52105.4	127.944
49500.1	127.944
47025.1	127.944
44673.9	127.944
42440.2	127.944
40318.2	122.658
38302.3	122.658
36387.2	115.394
34567.8	112.531
32839.4	112.531
31197.4	111.5
29637.6	111.5
28155.7	106.199
26747.9	106.199
25410.5	102.45
24140	102.45
22933	100.44
21786.3	100.44
20697	100.44
19662.2	100.44
18679.1	100.44
17745.1	100.44
16857.8	100.44
16015	100.44
15214.2	100.44
14453.5	100.44
13730.8	100.44
13044.3	100.44
12392.1	100.44
11772.5	100.44
11183.8	100.44
10624.6	100.44
10093.4	100.44
9588.75	100.44
9109.31	100.44
8653.84	100.44
8221.15	100.44
7810.09	100.44
7419.59	100.44
7048.61	100.44
6696.18	100.44
6361.37	100.44
6043.3	100.44
5741.14	100.44
5454.08	100.44
5181.38	100.44
4922.31	100.44
4676.19	100.44
4442.38	100.44
4220.26	100.44
4009.25	100.44
3808.79	100.44
3618.35	100.44
3437.43	100.44
3265.56	100.44
3102.28	100.44
2947.17	100.44
2799.81	100.44
2659.82	100.44
2526.83	100.44
2400.49	100.44
2280.46	100.44
2166.44	100.44
2058.12	100.44
1955.21	100.44
1857.45	100.44
1764.58	100.44
1676.35	100.44
1592.53	100.44
1512.9	100.44
1437.26	100.44
1365.4	100.44
1297.13	100.44
1232.27	100.44
1170.66	100.44
1112.12	100.44
1056.52	100.44
1003.69	100.44
953.507	100.44
905.832	100.44
860.54	100.44
817.513	100.44
776.638	100.44
737.806	100.44
700.915	100.44
665.87	100.44
632.576	100.44
600.947	100.44
570.9	100.44
542.355	100.44
515.237	100.44
489.475	100.44
465.002	100.44
441.752	100.44
419.664	100.44
398.681	100.44
378.747	100.44
359.809	100.44
341.819	100.44
324.728	100.44
308.492	100.44
293.067	100.44
278.414	100.44
264.493	100.44
251.268	100.44
238.705	100.44
226.77	100.44
215.431	100.44
204.66	100.44
194.427	100.44
184.705	100.44
175.47	100.44
166.697	100.44
158.362	100.44
150.444	94.2819
142.921	94.2819
135.775	94.2819
128.987	94.2819
122.537	94.2819
116.41	94.2819
110.59	94.2819
105.06	94.2819
99.8074	94.2819
94.817	94.2819
90.0762	94.2819
85.5724	94.2819
81.2937	94.2819
77.229	94.2819
73.3676	94.2819
69.6992	94.2819
66.2143	94.2819
62.9035	94.2819
59.7584	94.2819
56.7704	94.2819
53.9319	94.2819
51.2353	94.2819
48.6736	94.2819
46.2399	89.9297
43.9279	89.9297
41.7315	89.9297
39.6449	89.9297
37.6627	89.9297
35.7795	89.9297
33.9906	89.9297
32.291	89.9297
30.6765	89.9297
29.1427	89.9297
27.6855	89.9297
26.3012	89.9297
24.9862	89.9297
23.7369	89.9297
22.55	89.9297
21.4225	89.9297
20.3514	89.9297
19.3338	89.9297
18.3671	89.9297
17.4488	89.9297
16.5763	89.9297
15.7475	89.9297
